model;capacity;autonomy;staff;cargo;price;image_path;code;dof
ModelA;12345;3456;32456;3456;3456;32456;0;22-05-2021
ModelA;12345;3456;32456;3456;3456;32456;1;11-05-2017
ModelB;123456;32456;4356;3245;234356;2345;2;22-05-2021
ModelB;123456;32456;4356;3245;234356;2345;3;11-05-2021
ModelC;890803;euie;2343;3456;3456;32456;4;17-05-2018
ModelC;890803;euie;2343;3456;3456;32456;5;22-05-2021
ModelC;890803;euie;2343;3456;3456;32456;6;11-05-2021
ModelB;123456;32456;4356;3245;234356;2345;7;2021-05-29
ModelC;890803;euie;2343;3456;3456;32456;8;2021-05-29
ModelA;12345;3456;32456;3456;3456;32456;9;2018-05-25
ModelB;123456;32456;4356;3245;234356;2345;10;2019-05-17
ModelA;12345;3456;32456;3456;3456;32456;11;2019-05-16
ModelA;12345;3456;32456;3456;3456;32456;12;2022-05-13
